,0,1,2,3,4,5,6,7
0,1.0,0.4766666666666667,0.0,1.0,0.44545454545454544,0.25,1,88
1,1.0,0.44,0.0,0.1,0.5363636363636364,0.25,73,70
2,1.0,0.39,0.24444444444444444,1.0,0.9272727272727272,0.25,2,87
3,1.0,0.7133333333333334,0.0,0.1,0.5909090909090909,0.5,1,1
4,1.0,0.7966666666666666,1.0,0.5,0.5,1.0,1,18
5,1.0,0.51,0.0,0.1,0.08181818181818182,1.0,8,20
6,1.0,0.5666666666666667,0.0,0.5,0.3090909090909091,1.0,1,21
7,1.0,0.5066666666666667,1.0,0.5,0.5272727272727272,0.25,1,74
8,1.0,0.84,0.24444444444444444,0.1,0.6363636363636364,1.0,1,1
9,1.0,0.67,0.24444444444444444,0.5,0.45454545454545453,0.25,1,84
10,1.0,0.9133333333333333,0.0,1.0,0.2909090909090909,0.25,1,88
11,1.0,0.4533333333333333,0.0,1.0,0.23636363636363636,0.5,1,44
12,1.0,0.4033333333333333,0.0,0.1,0.045454545454545456,1.0,15,19
13,1.0,0.33666666666666667,0.0,1.0,0.2,0.25,1,88
14,1.0,0.8,0.0,0.5,0.3,1.0,1,21
15,1.0,0.5133333333333333,1.0,1.0,0.7363636363636363,0.5,1,36
16,1.0,0.63,0.0,0.5,0.11818181818181818,0.25,1,88
17,1.0,0.7533333333333333,0.24444444444444444,1.0,0.07272727272727272,0.5,1,42
18,1.0,0.97,0.24444444444444444,0.5,0.14545454545454545,1.0,1,20
19,1.0,0.9066666666666666,0.24444444444444444,0.1,0.9636363636363636,1.0,1,1
20,1.0,0.6133333333333333,1.0,0.5,0.45454545454545453,1.0,1,18
21,1.0,0.63,0.0,1.0,0.02727272727272727,0.25,1,88
22,1.0,0.9033333333333333,0.24444444444444444,0.1,0.8636363636363636,1.0,1,1
23,1.0,0.93,0.24444444444444444,1.0,0.5727272727272728,0.25,1,84
24,1.0,0.5033333333333333,0.0,0.5,0.15454545454545454,1.0,1,21
25,1.0,0.33666666666666667,0.0,0.5,0.1,0.25,1,88
26,1.0,0.5266666666666666,0.0,0.1,0.3181818181818182,0.5,107,4
27,1.0,0.42,0.24444444444444444,0.5,0.3,1.0,1,20
28,1.0,0.35,0.24444444444444444,0.5,0.7454545454545455,0.5,1,42
29,1.0,0.95,0.0,0.5,0.7090909090909091,1.0,1,21
30,1.0,0.41,0.24444444444444444,0.5,0.7181818181818181,0.25,1,84
31,1.0,0.4666666666666667,1.0,0.5,0.34545454545454546,1.0,1,18
32,1.0,0.49,0.0,1.0,0.39090909090909093,0.25,1,88
33,1.0,0.5533333333333333,0.24444444444444444,0.1,0.09090909090909091,0.25,197,5
34,1.0,0.9133333333333333,0.24444444444444444,0.5,0.42727272727272725,1.0,1,20
35,1.0,0.5866666666666667,0.24444444444444444,0.5,0.045454545454545456,0.25,1,84
36,1.0,0.5333333333333333,0.0,1.0,0.5363636363636364,0.5,1,44
37,1.0,0.8666666666666667,0.24444444444444444,1.0,0.13636363636363635,1.0,1,20
38,1.0,0.38333333333333336,0.0,0.5,0.5454545454545454,1.0,1,21
39,1.0,0.48333333333333334,0.0,0.1,0.2818181818181818,0.25,84,63
40,1.0,0.77,0.0,1.0,0.4,0.25,1,88
41,1.0,0.8666666666666667,1.0,1.0,0.6727272727272727,1.0,1,18
42,1.0,0.8766666666666667,0.24444444444444444,1.0,0.5909090909090909,1.0,1,20
43,1.0,0.79,0.24444444444444444,0.1,0.6545454545454545,1.0,1,1
44,1.0,0.7766666666666666,0.24444444444444444,0.5,0.22727272727272727,0.25,1,84
45,1.0,0.45666666666666667,0.0,0.5,0.5727272727272728,1.0,1,21
46,1.0,0.7433333333333333,0.0,0.1,0.6,1.0,1,1
47,1.0,0.9433333333333334,0.0,0.5,0.18181818181818182,0.5,1,44
48,1.0,0.7333333333333333,0.0,0.1,0.18181818181818182,0.5,6,42
49,1.0,0.91,1.0,0.5,0.15454545454545454,0.5,1,36
50,1.0,0.5,0.0,0.5,0.5909090909090909,0.5,1,44
51,1.0,0.77,0.24444444444444444,1.0,0.7818181818181819,0.25,1,85
52,1.0,0.43333333333333335,1.0,0.5,0.9727272727272728,1.0,4,19
53,1.0,0.83,0.24444444444444444,0.1,0.09090909090909091,1.0,25,1
54,1.0,0.8433333333333334,1.0,0.1,0.33636363636363636,0.25,1,1
55,1.0,0.66,1.0,1.0,0.15454545454545454,1.0,1,18
56,1.0,0.5366666666666666,0.24444444444444444,0.1,0.3090909090909091,0.25,97,49
57,1.0,0.4066666666666667,1.0,0.1,0.7818181818181819,0.25,1,1
58,1.0,0.6,0.0,0.1,0.4090909090909091,0.5,75,10
59,1.0,0.84,1.0,0.1,0.06363636363636363,1.0,11,10
60,1.0,0.6966666666666667,0.24444444444444444,0.1,0.7454545454545455,0.25,1,1
61,1.0,0.84,1.0,0.5,0.5454545454545454,0.25,1,74
62,1.0,0.91,0.0,1.0,0.42727272727272725,0.25,1,88
63,1.0,0.7,0.0,1.0,0.7727272727272727,1.0,1,21
64,1.0,0.9533333333333334,1.0,0.5,0.11818181818181818,0.25,1,74
65,1.0,0.97,0.24444444444444444,0.1,0.9454545454545454,0.5,1,1
66,1.0,0.7766666666666666,0.0,1.0,0.7090909090909091,0.25,1,88
67,1.0,0.8133333333333334,0.0,0.5,0.8272727272727273,0.5,1,44
68,1.0,0.6933333333333334,1.0,0.5,0.02727272727272727,0.5,1,36
69,1.0,0.52,1.0,0.5,0.7272727272727273,0.5,1,36
70,1.0,0.7933333333333333,0.0,1.0,0.6363636363636364,0.5,1,44
71,1.0,0.8333333333333334,0.0,0.1,0.41818181818181815,1.0,1,1
72,1.0,0.87,0.0,0.1,0.6090909090909091,0.25,1,1
73,1.0,0.8433333333333334,0.0,0.1,1.0,1.0,1,1
74,1.0,0.6033333333333334,1.0,1.0,0.5727272727272728,0.5,1,36
75,1.0,0.4166666666666667,1.0,1.0,0.4090909090909091,1.0,1,18
76,1.0,0.7933333333333333,0.24444444444444444,1.0,0.6090909090909091,0.25,1,84
77,1.0,0.9366666666666666,0.0,0.5,0.7090909090909091,0.25,1,88
78,1.0,0.8966666666666666,0.24444444444444444,1.0,0.5818181818181818,1.0,1,20
79,1.0,0.38333333333333336,1.0,0.1,0.00909090909090909,0.5,102,14
80,1.0,0.5866666666666667,0.0,0.5,0.41818181818181815,1.0,1,21
81,1.0,0.5766666666666667,1.0,0.1,0.5909090909090909,1.0,1,1
82,1.0,0.8333333333333334,0.0,1.0,0.18181818181818182,0.5,1,44
83,1.0,0.9033333333333333,1.0,1.0,0.00909090909090909,0.25,1,74
84,1.0,0.99,0.0,0.5,0.4727272727272727,1.0,177,5
85,1.0,0.9266666666666666,0.24444444444444444,1.0,0.8636363636363636,0.5,1,43
86,1.0,0.79,0.0,0.5,0.07272727272727272,0.5,1,44
87,1.0,0.4533333333333333,0.0,1.0,0.05454545454545454,1.0,1,21
88,1.0,0.9333333333333333,0.0,1.0,0.4090909090909091,0.25,1,88
89,1.0,0.81,0.24444444444444444,0.5,0.5727272727272728,1.0,1,20
90,1.0,0.9033333333333333,1.0,0.1,0.37272727272727274,0.25,1,1
91,1.0,0.6333333333333333,1.0,0.5,0.36363636363636365,0.5,1,36
92,1.0,0.9466666666666667,0.24444444444444444,0.5,0.06363636363636363,0.25,1,84
93,1.0,0.37333333333333335,0.0,1.0,0.14545454545454545,1.0,1,21
94,1.0,0.7733333333333333,0.0,1.0,0.8363636363636363,1.0,1,22
95,1.0,0.7966666666666666,0.24444444444444444,0.5,0.4909090909090909,0.25,1,84
96,1.0,0.95,0.0,0.1,0.24545454545454545,1.0,1,1
97,1.0,0.43666666666666665,0.0,1.0,0.2727272727272727,0.25,1,88
98,1.0,0.9033333333333333,0.24444444444444444,1.0,0.6272727272727273,0.5,1,42
99,1.0,0.52,1.0,1.0,0.22727272727272727,0.5,1,36
100,1.0,0.8866666666666667,1.0,0.1,0.36363636363636365,0.25,1,1
101,1.0,0.46,0.24444444444444444,0.1,0.35454545454545455,1.0,53,5
102,1.0,0.44,0.0,0.5,0.509090909090909,1.0,1,21
103,1.0,0.5233333333333333,1.0,0.5,0.19090909090909092,1.0,1,18
104,1.0,0.97,0.24444444444444444,0.5,0.8181818181818182,0.25,1,86
105,1.0,0.38333333333333336,0.24444444444444444,1.0,0.8454545454545455,1.0,1,21
106,1.0,0.9366666666666666,1.0,0.1,0.7363636363636363,0.25,1,1
107,1.0,1.0,1.0,0.5,0.13636363636363635,0.5,1,36
108,1.0,0.37,1.0,0.1,0.8636363636363636,0.25,1,1
109,1.0,0.51,0.0,0.5,0.7636363636363637,1.0,1,21
110,1.0,0.9366666666666666,0.24444444444444444,1.0,0.8272727272727273,0.25,1,86
111,1.0,0.45666666666666667,1.0,0.5,0.3181818181818182,1.0,1,18
112,1.0,0.5066666666666667,0.0,1.0,0.14545454545454545,0.25,1,88
113,1.0,0.42,0.0,0.1,0.8909090909090909,0.25,1,1
114,1.0,0.48,0.0,1.0,0.5545454545454546,1.0,1,21
115,1.0,0.73,1.0,1.0,0.6818181818181818,1.0,1,18
116,1.0,0.9466666666666667,0.24444444444444444,0.5,0.16363636363636364,0.5,1,42
117,1.0,0.84,1.0,1.0,0.44545454545454544,0.5,1,36
118,1.0,0.6866666666666666,0.24444444444444444,0.5,0.8545454545454545,0.5,1,43
119,1.0,0.7533333333333333,0.24444444444444444,0.1,0.8363636363636363,0.5,1,1
120,1.0,0.85,0.24444444444444444,1.0,0.6545454545454545,0.25,1,84
121,1.0,0.56,0.0,1.0,0.07272727272727272,1.0,1,21
122,1.0,0.48333333333333334,0.24444444444444444,0.5,0.5818181818181818,0.25,1,84
123,1.0,0.9166666666666666,0.0,0.1,0.6545454545454545,1.0,1,1
124,1.0,0.36,1.0,1.0,0.7454545454545455,0.25,1,75
